縣市名稱,縣市代碼,借問站名稱,郵遞區號,地址
台北市,63000,有記名茶,103008,大同區重慶北路二段64巷26號
台北市,63000,台北地下街,100009,中正區市民大道一段100號B1
台北市,63000,華山1914文化創意產業園區,100013,中正區八德路一段1號
台北市,63000,東東玩具城,103015,大同區太原路54號
台北市,63000,財團法人台北市關渡宮,112055,北投區知行路360號
台北市,63000,穠舍田園咖啡義大利菜,114024,內湖區碧山路38號
台北市,63000,亞尼克夢想村陽明山店,111095,士林區長春街6巷5號
台北市,63000,雅博客二手書店,106021,大安區新生南路3段76巷9號1樓
台北市,63000,長榮海事博物館,100012,中正區中山南路11號
台北市,63000,町記憶旅店,108006,萬華區昆明街119號
台北市,63000,途中台北青年旅舍,112006,北投區光明路82號
台北市,63000,禮客outlet公館店,100047,中正區思源街16號1樓
台北市,63000,門片咖啡,111049,士林區天玉街38巷7號
台北市,63000,遊藝思文創空間,106026,大安區辛亥路二段171巷15號
台北市,63000,大華行－竹木造咖,103003,大同區迪化街1段161號
台北市,63000,大稻埕花園旅店,103004,大同區迪化街1段334號
台北市,63000,丹迪旅店大安森林公園店,106090,大安區信義路3段33號
台北市,63000,台北馥華商旅南港館,115010,南港區三重路23號
台北市,63000,郭元益糕餅博物館,111079,士林區文林路546號4樓
台北市,63000,馬修單車,111043,士林區文林路577號
台北市,63000,大稻埕葉?發商號,103004,大同區迪化街1段296號
台北市,63000,無飲永春店,110044,信義區松山路417號
